,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
92,1059.09,990.598,957.575,935.027,933.923,963.706,1052.554,1128.555,1234.454,1324.567,1372.968,1418.374,1397.825,1410.377,1461.166,1479.866,1465.999,1408.809,1469.009,1549.975,1527.36,1466.135,1349.687,1228.062
93,1115.144,1047.563,1000.924,976.161,972.128,1005.866,1080.067,1123.311,1221.863,1294.989,1336.96,1367.552,1312.408,1337.329,1383.805,1400.707,1391.039,1340.392,1406.725,1506.093,1480.645,1413.215,1297.945,1186.811
94,1081.622,1015.274,985.124,972.637,960.042,1010.595,1097.49,1139.301,1200.435,1267.509,1294.706,1319.825,1274.488,1286.458,1324.194,1330.814,1306.264,1255.31,1332.801,1440.214,1415.836,1356.889,1253.268,1135.207
95,1041.988,989.154,957.754,947.232,950.687,1002.869,1076.11,1128.995,1205.103,1269.299,1303.966,1327.404,1295.257,1317.283,1349.133,1353.133,1300.937,1245.246,1327.985,1432.894,1395.684,1333.269,1235.444,1115.183
96,1018.896,956.853,922.742,902.88,900.395,928.627,889.501,876.37,941.17,994.67,1030.571,1047.022,1044.697,1039.425,1041.678,1044.61,1029.937,1030.623,1162.446,1296.453,1281.452,1226.978,1129.12,1023.694
97,946.796,897.981,864.711,847.854,844.339,868.081,871.579,903.095,1014.236,1100.878,1140.737,1162.513,1147.701,1134.091,1147.995,1158.01,1155.341,1138.777,1262.051,1381.31,1354.768,1286.04,1190.038,1092.252
98,1004.379,942.905,906.296,880.195,871.985,881.015,832.528,840.553,913.156,970.177,1012.306,1037.27,1039.456,1044.035,1067.906,1099.151,1107.73,1111.15,1252.571,1384.682,1370.936,1308.447,1201.713,1086.229
99,990.594,927.147,898.934,877.297,896.134,939.577,1040.904,1125.934,1214.006,1305.753,1359.642,1408.062,1375.335,1396.652,1451.945,1474.023,1454.658,1386.061,1430.938,1540.589,1522.385,1460.813,1344.606,1224.156
100,1131.492,1068.953,1029.86,1006.356,1014.543,1054.321,1110.714,1174.27,1274.763,1357.472,1404.415,1437.304,1398.723,1436.41,1491.871,1515.457,1487.631,1412.43,1470.915,1578.618,1556.632,1491.315,1380.61,1243.296
101,1139.338,1068.139,1041.811,1018.795,1028.412,1067.265,1148.907,1219.395,1306.132,1383.22,1417.978,1435.836,1416.688,1449.891,1496.035,1489.798,1463.16,1395.41,1471.792,1567.854,1540.836,1475.694,1365.413,1254.636
102,1157.894,1087.852,1046.557,1023.581,1036.035,1069.701,1141.19,1208.617,1293.383,1348.523,1371.205,1397.668,1348.633,1380.447,1434.182,1444.997,1431.125,1366.728,1460.754,1550.319,1527.005,1467.502,1342.554,1181.19
103,1045.519,982.397,942.1,921.518,928.78,965.051,1060.955,1107.35,1166.222,1222.863,1247.908,1256.669,1214.482,1214.433,1248.188,1265.222,1253.502,1221.004,1329.266,1426.272,1395.139,1324.015,1214.112,1100.628
104,1012.354,954.158,926.656,908.931,914.477,954.337,971.559,1002.479,1094.468,1161.548,1181.213,1194.239,1159.728,1139.046,1140.766,1136.076,1129.071,1123.741,1264.347,1352.336,1328.503,1264.37,1168.296,1061.959
105,981.62,924.824,887.487,864.169,853.863,866.184,840.597,823.268,885.261,942.283,972.955,990.212,993.933,996.675,1012.702,1036.547,1054.823,1069.992,1238.635,1358.764,1342.741,1278.068,1172.561,1052.165
106,958.421,897.251,862.953,851.511,870.422,919.854,1028.394,1099.008,1152.361,1219.337,1257.523,1276.087,1231.773,1226.104,1268.873,1290.494,1275.184,1234.346,1347.54,1436.493,1412.273,1341.358,1222.764,1096.619
107,1013.197,972.814,947.499,932.481,951.206,987.994,1070.093,1111.292,1185.086,1239.468,1267.613,1282.232,1231.866,1241.984,1281.554,1293.849,1270.012,1247.233,1347.261,1438.721,1416.414,1347.198,1222.454,1104.994
